Country,pcode,gis_name,name_alt,name_fr,name_sp,loc_type,address_1,address_2,address_3,address_4,city,ds_code,x,y
Colombia,COLp000822,Buenaventura,,Buenaventura,,UNHCR Field Office,,,,,Buenaventura,COLBN,-8579478.8625,432488.89880000055
Colombia,COLp000652,Arauca,,Arauca,,UNHCR Field Office,Cll 20 No. 24-68,,,,Arauca,COLAR,-7877180.210899999,790594.8115000017
Colombia,COLp000625,Medellín,Medellin,Medellín,,UNHCR Sub-Office,Cll 7 No. 39-215,,,,Medellin,COLME,-8412378.9649,692956.3000000007
Colombia,COLp000552,Mocoa,,Mocoa,,UNHCR Field Office,Calle 117 No 07-22,Barrio Villa Diana,,,Mocoa,COLMO,-8529199.4197,127875.14249999821
Colombia,COLp000479,Quibdó,,Quibdò,,UNHCR Field Office,Carrera 4 No 24-86,,,,Quibdó,COLQU,-8533059.5343,634567.8564000018
Colombia,COLp000470,Cúcuta,Cucuta,Cúcuta,,UNHCR Sub-Office,Avenida 1 No 12-35,Biblioteca Publica Julio Perez Ferrero,,,Cucuta,COLCU,-8070996.818299999,881254.4547000006
Colombia,COLp000468,Pasto,,Pasto,,UNHCR Field Office,Carrera 32B No 19-10,Barrio Palermo,,,Pasto,COLPS,-8603243.3563,136958.21049999818
Colombia,COLp000088,Bogota,,Bogotá,,UNHCR Country Office,Calle 113 No.7-21,Torre A Oficina 601,,,Bogota,COLBO,-8244417.3466,519002.1378999986
Colombia,COLp000464,Barranquilla,,Barranquilla,,UNHCR Field Office,Cra. 54 No. 68 - 196  Edificio Prado,Office Center Ofic 90,,,Barranquilla,COLBR,-8326631.453600001,1231883.1719000004
Colombia,COLp000469,Cali,,Cali,,UNHCR Sub-Office,,,,,,COLCA,-8518438.8324,385049.01410000026
Colombia,COLp000828,Bogota FU,Bogota,Bogota,,UNHCR Field Unit,,,,,,COLBG,-8244417.3466,519002.1378999986
Colombia,COLp000826,Riohacha,,Riohacha,,UNHCR Sub-Office,,,,,Riohacha,COLRI,-8116556.9087000005,1292166.001600001
Colombia,COLp000827,Ipiales,Ipiales,Ipiales,,UNHCR Field Office,,,,,Ipiales,COLIP,-8642982.2232,91894.7100000009
Colombia,COLp000086,Apartadó,,Apartadò,,UNHCR Field Office,Calle 100D No 111-56,Barrio Los Almendros,,,Apartadó,COLAP,-8531071.6569,880694.2617000006
Colombia,COLp000829,Popayán,,,Popayán,UNHCR Field Unit,,,,,Popayán,COLPO,-8527745.742,271914.77490000054
Colombia,COLp000830,Maicao,,,Maicao,UNHCR Field Unit,,,,,Maicao,COLMA,-8041601.4549,1274987.8871
Colombia,COLp000831,Montería,,,Montería,UNHCR Field Unit,,,,,Montería,COLMN,-8446700.5305,977933.0234000012
Colombia,COLp000832,Bucaramanga,,,Bucaramanga,UNHCR Field Unit,,,,,Bucaramanga,COLBU,-8139427.505000001,793662.4277000017
Comoros,COMp000001,Moroni,,Moroni,,UNHCR Field Unit,,,,Approximate location,Moroni,,4815126.960099999,-1311137.7518000007
Costa Rica,CRIp000096,San José (FU),,San José (FU),,UNHCR Field Unit,Apartado Postal 12,,,,San José,,-9363434.8081,1112219.1490999982
Costa Rica,CRIp000094,San José,,San José,,UNHCR Country Office,Apartado Postal 12,,,,San José,COSSA,-9363434.8081,1112219.1490999982
Costa Rica,CRIp000095,Upala,,,,UNHCR Field Office,,,,,Upala,COSUP,-9463591.568,1220664.8915
Cuba,CUBp004526,Havana,La Habana,La Havane,,UNHCR National Office,,,,,,CUBHA,-9169030.2343,2648146.997299999
Cyprus,CYPp000101,Nicosia*,,Nicosie,,UNHCR Liaison Office,P.O. Box 21642,,,,Nicosia,CYPNI,3714731.4078,4186871.351800002
Czech Republic,CZEp000102,Praha,Prague,Prague,,UNHCR National Office,in the Czech Republic,Namesti Kinskych 6,,,Praha,CZEPR,1603535.8915,6459840.662100002
Germany,DEUp000169,Nuremberg,Nürnberg,Nuremberg,,UNHCR Sub-Office,Frankenstrasse 210,,,,Nurnberg,GFRNU,1235421.5938000008,6348333.600199997
Germany,DEUp000398,Berlin*,,Berlin,,UNHCR Liaison Office,Wallstr. 9-13,,,,Berlin,GFRBE,1492238.107999999,6893098.090099998
Djibouti,DJIp000838,Obock,,Obock,,UNHCR Field Unit,,,,,Obock,DJBOB,4818547.018800002,1341572.5557999983
Djibouti,DJIp000121,Djibouti,,Djibouti,,UNHCR Country Office,Boite postale: 1885,Rue de l'IGAD,Lotissement du Heron,,Djibouti,DJBDJ,4802545.4717999995,1299651.010400001
Djibouti,DJIp000733,Ali Sabieh,,Ali Sabieh,,UNHCR Field Office,,,,,,DJBAL,4754678.0907999985,1249348.5276000015
Denmark,DNKp000001,Copenhagen,Copenhagen,Copenhague,,UNHCR HeadQuarter,,,,,,DENCO,1402341.6706000008,7499850.520300001
Dominican Republic,DOMp000813,Santo Domingo***,,Saint Domingue***,,UNHCR Field Office,Calle Cayetano Rodriguez 55,,,,Santo Domingo,DOMSA,-7782008.953400001,2092024.9952999987
Algeria,DZAp000017,Tindouf,,Tindouf,,UNHCR Sub-Office,Mussani area or (Zone Mussani),,,,Tindouf,ALGTI,-906793.7664999999,3206922.6350999996
Algeria,DZAp000015,Algiers,,Alger,,UNHCR Country Office,UNHCR Algeria / Algérie,128 Chemin Bachir El-Ibrahimi,"Poirson, El Biar",,Algiers,ALGAL,337800.21930000186,4405728.146899998
Algeria,DZAp000415,Rabouni,,Rabouni,,UNHCR Field Unit,,,,,,ALGRA,-900276.5665000007,3183348.593899999
Ecuador,ECUp000819,Tulcán,Tulcán Field-Office,,Oficina de terreno de Tulcán,UNHCR Field Office,,Holanda,,Entre Italia y Av. Tulcanaza,Tulcán,ECUTU,-8653124.3491,88762.15729999915
Ecuador,ECUp000428,Ibarra,North Sub-Office,,Sub-Oficina del Norte,UNHCR Sub-Office,Calle Juan de la Roca 350,Av. José Tobar y Tobar,,Sector Pilanquí,Ibarra,ECUIB,-8697551.1415,38314.64660000056
Ecuador,ECUp000128,Quito,Country Office,,Oficina de País,UNHCR Country Office,N28 - 39,Calle Whymper,,Entre Coruña y Orellana,Quito,ECUQU,-8736515.518,-22095.57589999959
